vehicle_speed_kmph,weather_condition,road_condition,visibility_m,driver_age,num_vehicles_involved,time_of_day,alcohol_involved,seatbelt_used,severity
67.45,0,0,757.3,23,3,0,0,1,4.646
57.93,0,0,1084.5,47,3,1,0,1,3.264
69.72,1,0,1480.0,39,3,3,0,1,4.605
82.85,1,0,803.2,32,1,3,0,1,2.409
56.49,0,1,249.4,25,1,2,0,0,7.212
56.49,2,0,1247.9,26,1,0,0,0,6.937
83.69,0,0,745.9,59,2,3,0,1,3.989
71.51,0,0,524.1,35,1,1,0,1,1.0
52.96,1,2,750.3,44,2,0,0,1,4.959
68.14,2,0,926.2,25,2,3,0,1,7.56
53.05,1,0,758.1,25,4,2,0,0,9.745
53.01,1,0,117.8,47,2,2,0,0,7.768
